series_id        	year	period	       value	footnote_codes
PRS88003151      	2003	Q01	        -0.8	
PRS88003151      	2003	Q02	         0.9	
PRS88003151      	2003	Q03	         1.4	
PRS88003151      	2003	Q04	         2.4	
PRS88003151      	2003	Q05	         1.0	
PRS88003151      	2004	Q01	         2.0	
PRS88003151      	2004	Q02	         1.0	
PRS88003151      	2004	Q03	         1.2	
PRS88003151      	2004	Q04	        -0.4	
PRS88003151      	2004	Q05	         0.9	
PRS88003151      	2005	Q01	         1.1	
PRS88003151      	2005	Q02	         0.0	
PRS88003151      	2005	Q03	        -1.3	
PRS88003151      	2005	Q04	        -0.9	
PRS88003151      	2005	Q05	        -0.3	
PRS88003151      	2006	Q01	        -0.4	
PRS88003151      	2006	Q02	        -0.8	
PRS88003151      	2006	Q03	        -1.1	
PRS88003151      	2006	Q04	         1.4	
PRS88003151      	2006	Q05	        -0.2	
PRS88003151      	2007	Q01	         1.5	
PRS88003151      	2007	Q02	         1.2	
PRS88003151      	2007	Q03	         1.7	
PRS88003151      	2007	Q04	        -0.5	
PRS88003151      	2007	Q05	         1.0	
PRS88003151      	2008	Q01	        -1.8	
PRS88003151      	2008	Q02	        -1.6	
PRS88003151      	2008	Q03	        -1.6	
PRS88003151      	2008	Q04	         2.6	
PRS88003151      	2008	Q05	        -0.6	
PRS88003151      	2009	Q01	         0.5	
PRS88003151      	2009	Q02	         3.7	
PRS88003151      	2009	Q03	         4.1	R
PRS88003151      	2009	Q04	         0.0	
PRS88003151      	2009	Q05	         2.1	
PRS88003151      	2010	Q01	         1.3	
PRS88003151      	2010	Q02	        -0.3	
PRS88003151      	2010	Q03	        -0.4	
PRS88003151      	2010	Q04	        -0.9	
PRS88003151      	2010	Q05	        -0.1	
PRS88003151      	2011	Q01	         1.4	
PRS88003151      	2011	Q02	        -1.2	
PRS88003151      	2011	Q03	        -1.4	R
PRS88003151      	2011	Q04	        -2.4	
PRS88003151      	2011	Q05	        -0.9	
PRS88003151      	2012	Q01	        -1.7	
PRS88003151      	2012	Q02	         0.9	
PRS88003151      	2012	Q03	         0.5	
PRS88003151      	2012	Q04	         3.5	
PRS88003151      	2012	Q05	         0.8	
PRS88003151      	2013	Q01	         0.6	
PRS88003151      	2013	Q02	         0.4	
PRS88003151      	2013	Q03	         0.0	
PRS88003151      	2013	Q04	        -1.3	
PRS88003151      	2013	Q05	        -0.1	
PRS88003151      	2014	Q01	         1.5	
PRS88003151      	2014	Q02	        -0.2	
PRS88003151      	2014	Q03	         0.8	
PRS88003151      	2014	Q04	         1.5	
PRS88003151      	2014	Q05	         0.9	
PRS88003151      	2015	Q01	         2.3	
PRS88003151      	2015	Q02	         3.5	
PRS88003151      	2015	Q03	         3.3	
PRS88003151      	2015	Q04	         2.4	
PRS88003151      	2015	Q05	         2.9	
PRS88003151      	2016	Q01	         0.1	
PRS88003151      	2016	Q02	        -0.4	
PRS88003151      	2016	Q03	        -0.4	
PRS88003151      	2016	Q04	         0.0	R
PRS88003151      	2016	Q05	        -0.2	
PRS88003151      	2017	Q01	         0.6	R
PRS88003151      	2017	Q02	         1.2	
PRS88003151      	2017	Q03	         1.5	
PRS88003151      	2017	Q04	         1.3	
PRS88003151      	2017	Q05	         1.2	R
PRS88003151      	2018	Q01	         1.4	
PRS88003151      	2018	Q02	         0.8	
PRS88003151      	2018	Q03	         1.0	R
PRS88003151      	2018	Q04	         0.9	R
PRS88003151      	2018	Q05	         1.0	
PRS88003151      	2019	Q01	         2.2	
PRS88003151      	2019	Q02	         2.3	
PRS88003151      	2019	Q03	         1.6	
PRS88003151      	2019	Q04	         1.7	R
PRS88003151      	2019	Q05	         1.9	
PRS88003151      	2020	Q01	         0.7	R
PRS88003151      	2020	Q02	         9.1	R
PRS88003151      	2020	Q03	         6.7	R
PRS88003152      	1995	Q01	         0.5	
PRS88003152      	1995	Q02	        -0.2	
PRS88003152      	1995	Q03	        -0.2	
PRS88003152      	1995	Q04	         1.2	
PRS88003152      	1995	Q05	        -0.4	
PRS88003152      	1996	Q01	         1.1	
PRS88003152      	1996	Q02	        -0.1	
PRS88003152      	1996	Q03	         1.0	
PRS88003152      	1996	Q04	        -1.0	R
PRS88003152      	1996	Q05	         0.5	
PRS88003152      	1997	Q01	         1.8	
PRS88003152      	1997	Q02	         2.4	
PRS88003152      	1997	Q03	         2.8	R
PRS88003152      	1997	Q04	         4.9	
PRS88003152      	1997	Q05	         1.5	
PRS88003152      	1998	Q01	         5.3	
PRS88003152      	1998	Q02	         4.8	R
PRS88003152      	1998	Q03	         4.9	R
PRS88003152      	1998	Q04	         0.9	
PRS88003152      	1998	Q05	         4.3	
PRS88003152      	1999	Q01	         7.2	R
PRS88003152      	1999	Q02	        -0.8	
PRS88003152      	1999	Q03	         0.1	
PRS88003152      	1999	Q04	         4.3	
PRS88003152      	1999	Q05	         2.9	
PRS88003152      	2000	Q01	        10.0	
PRS88003152      	2000	Q02	        -1.4	
PRS88003152      	2000	Q03	         4.1	R
PRS88003152      	2000	Q04	         0.5	
PRS88003152      	2000	Q05	         3.5	
PRS88003152      	2001	Q01	        -5.8	
PRS88003152      	2001	Q02	         0.5	
PRS88003152      	2001	Q03	         1.0	
PRS88003152      	2001	Q04	         5.1	
PRS88003152      	2001	Q05	        -0.5	
PRS88003152      	2002	Q01	        -3.2	
PRS88003152      	2002	Q02	         0.2	
PRS88003152      	2002	Q03	         0.0	
PRS88003152      	2002	Q04	        -0.5	
PRS88003152      	2002	Q05	         0.3	
PRS88003152      	2003	Q01	        -2.8	
PRS88003152      	2003	Q02	         7.3	
PRS88003152      	2003	Q03	         2.1	
PRS88003152      	2003	Q04	         3.1	
PRS88003152      	2003	Q05	         1.0	
PRS88003152      	2004	Q01	        -4.3	
PRS88003152      	2004	Q02	         3.1	R
PRS88003152      	2004	Q03	         3.3	
